original_url,m3u8_url,video_id,timestamp
https://tv.nrsr.sk/archiv/schodza/6/23?MeetingDate=24092013&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20130924_085521_120012.mp4/playlist.m3u8,slovakia_6_23_13_24092013,2025-03-26 15:35:31
https://tv.nrsr.sk/archiv/schodza/9/25?MeetingDate=02122024&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20241202_085922_093506.mp4/playlist.m3u8,slovakia_9_25_1_02122024,2025-03-26 15:35:50
https://tv.nrsr.sk/archiv/schodza/7/6?MeetingDate=16062016&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20160616_085430_120536.mp4/playlist.m3u8,slovakia_7_6_3_16062016,2025-03-26 15:36:28
https://tv.nrsr.sk/archiv/schodza/9/25?MeetingDate=03122024&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20241203_082925_093549.mp4/playlist.m3u8,slovakia_9_25_2_03122024,2025-03-26 15:36:38
https://tv.nrsr.sk/archiv/schodza/8/75?MeetingDate=27102022&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20221027_085516_115021.mp4/playlist.m3u8,slovakia_8_75_6_27102022,2025-03-26 15:36:40
https://tv.nrsr.sk/archiv/schodza/9/24?MeetingDate=25112024&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20241126_155911_171035.mp4/playlist.m3u8,slovakia_9_24_1_25112024,2025-03-26 15:37:47
https://tv.nrsr.sk/archiv/schodza/6/23?MeetingDate=25092013&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20130925_085521_120435.mp4/playlist.m3u8,slovakia_6_23_14_25092013,2025-03-26 15:37:57
https://tv.nrsr.sk/archiv/schodza/8/3?MeetingDate=24032020&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20200324_145501_192638.mp4/playlist.m3u8,slovakia_8_3_1_24032020,2025-03-26 15:38:31
https://tv.nrsr.sk/archiv/schodza/7/6?MeetingDate=17062016&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20160617_085445_130416.mp4/playlist.m3u8,slovakia_7_6_4_17062016,2025-03-26 15:39:12
https://tv.nrsr.sk/archiv/schodza/9/23?MeetingDate=25112024&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20241126_125905_155102.mp4/playlist.m3u8,slovakia_9_23_1_25112024,2025-03-26 15:39:16
https://tv.nrsr.sk/archiv/schodza/6/22?MeetingDate=02072013&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20130702_125509_132130.mp4/playlist.m3u8,slovakia_6_22_1_02072013,2025-03-26 15:40:24
https://tv.nrsr.sk/archiv/schodza/6/21?MeetingDate=18062013&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20130618_125741_190415.mp4/playlist.m3u8,slovakia_6_21_1_18062013,2025-03-26 15:41:01
https://tv.nrsr.sk/archiv/schodza/7/6?MeetingDate=21062016&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20160621_085413_115918.mp4/playlist.m3u8,slovakia_7_6_5_21062016,2025-03-26 15:42:44
https://tv.nrsr.sk/archiv/schodza/8/3?MeetingDate=25032020&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20200325_105501_113539.mp4/playlist.m3u8,slovakia_8_3_2_25032020,2025-03-26 15:42:55
https://tv.nrsr.sk/archiv/schodza/9/23?MeetingDate=26112024&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20241126_172823_200657.mp4/playlist.m3u8,slovakia_9_23_2_26112024,2025-03-26 15:43:31
https://tv.nrsr.sk/archiv/schodza/8/2?MeetingDate=24032020&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20200324_095500_124108.mp4/playlist.m3u8,slovakia_8_2_1_24032020,2025-03-26 15:43:48
https://tv.nrsr.sk/archiv/schodza/8/75?MeetingDate=08112022&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20221108_085500_190226.mp4/playlist.m3u8,slovakia_8_75_7_08112022,2025-03-26 15:44:51
https://tv.nrsr.sk/archiv/schodza/7/6?MeetingDate=22062016&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20160622_085425_095454.mp4/playlist.m3u8,slovakia_7_6_6_22062016,2025-03-26 15:45:26
https://tv.nrsr.sk/archiv/schodza/6/21?MeetingDate=19062013&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20130619_085534_121033.mp4/playlist.m3u8,slovakia_6_21_2_19062013,2025-03-26 15:45:34
https://tv.nrsr.sk/archiv/schodza/7/5?MeetingDate=07062016&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20160607_095448_130159.mp4/playlist.m3u8,slovakia_7_5_1_07062016,2025-03-26 15:46:30
https://tv.nrsr.sk/archiv/schodza/8/1?MeetingDate=20032020&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20200320_085312_183255.mp4/playlist.m3u8,slovakia_8_1_1_20032020,2025-03-26 15:46:34
https://tv.nrsr.sk/archiv/schodza/9/23?MeetingDate=27112024&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20241127_085905_120413.mp4/playlist.m3u8,slovakia_9_23_3_27112024,2025-03-26 15:47:34
https://tv.nrsr.sk/archiv/schodza/6/21?MeetingDate=20062013&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20130620_085539_120059.mp4/playlist.m3u8,slovakia_6_21_3_20062013,2025-03-26 15:48:07
https://tv.nrsr.sk/archiv/schodza/7/4?MeetingDate=17052016&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20160517_125458_190217.mp4/playlist.m3u8,slovakia_7_4_1_17052016,2025-03-26 15:49:13
https://tv.nrsr.sk/archiv/schodza/6/21?MeetingDate=21062013&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20130621_085521_140226.mp4/playlist.m3u8,slovakia_6_21_4_21062013,2025-03-26 15:50:40
https://tv.nrsr.sk/archiv/schodza/9/23?MeetingDate=28112024&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20241128_085908_124142.mp4/playlist.m3u8,slovakia_9_23_4_28112024,2025-03-26 15:54:07
https://tv.nrsr.sk/archiv/schodza/7/4?MeetingDate=18052016&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20160518_085501_120331.mp4/playlist.m3u8,slovakia_7_4_2_18052016,2025-03-26 15:54:24
https://tv.nrsr.sk/archiv/schodza/6/21?MeetingDate=25062013&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20130625_085512_120231.mp4/playlist.m3u8,slovakia_6_21_5_25062013,2025-03-26 15:54:41
https://tv.nrsr.sk/archiv/schodza/7/58?MeetingDate=18022020&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20200218_125501_135114.mp4/playlist.m3u8,slovakia_7_58_1_18022020,2025-03-26 15:56:22
